booking_id,arrival_date,departure_date,category,house_id,guest_name,phone,adults,children,payment_status,group_id,start_token,note
R001,2026-09-26,2026-09-27,Учебный домик,H001,Учебный гость 001,,2,0,first_night_paid,,DEMO-ONLY-R001,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R002,2026-09-27,2026-09-28,Учебный домик,H002,Учебный гость 002,,2,0,first_night_paid,,DEMO-ONLY-R002,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R003,2026-09-28,2026-09-29,Учебный домик,H003,Учебный гость 003,,2,0,first_night_paid,,DEMO-ONLY-R003,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R004,2026-09-26,2026-09-27,Учебный домик,H004,Учебный гость 004,,2,0,first_night_paid,,DEMO-ONLY-R004,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R005,2026-09-27,2026-09-28,Учебный домик,H005,Учебный гость 005,,2,0,first_night_paid,,DEMO-ONLY-R005,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R006,2026-09-28,2026-09-29,Учебный домик,H006,Учебный гость 006,,2,0,first_night_paid,,DEMO-ONLY-R006,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R007,2026-09-26,2026-09-27,Учебный домик,H007,Учебный гость 007,,2,0,first_night_paid,,DEMO-ONLY-R007,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R008,2026-09-27,2026-09-28,Учебный домик,H008,Учебный гость 008,,2,0,first_night_paid,,DEMO-ONLY-R008,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R009,2026-09-28,2026-09-29,Учебный домик,H009,Учебный гость 009,,2,0,first_night_paid,,DEMO-ONLY-R009,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R010,2026-09-26,2026-09-27,Учебный домик,H010,Учебный гость 010,,2,0,first_night_paid,,DEMO-ONLY-R010,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R011,2026-09-27,2026-09-28,Учебный домик,H011,Учебный гость 011,,2,0,first_night_paid,G01,DEMO-ONLY-R011,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R012,2026-09-28,2026-09-29,Учебный домик,H012,Учебный гость 012,,2,0,first_night_paid,G01,DEMO-ONLY-R012,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R013,2026-09-26,2026-09-27,Учебный домик,H013,Учебный гость 013,,2,0,first_night_paid,G01,DEMO-ONLY-R013,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R014,2026-09-27,2026-09-28,Учебный домик,H014,Учебный гость 014,,2,0,first_night_paid,G01,DEMO-ONLY-R014,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R015,2026-09-28,2026-09-29,Учебный домик,H015,Учебный гость 015,,2,0,first_night_paid,G01,DEMO-ONLY-R015,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R016,2026-09-26,2026-09-27,Учебный домик,H016,Учебный гость 016,,2,0,first_night_paid,G01,DEMO-ONLY-R016,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R017,2026-09-27,2026-09-28,Учебный домик,H017,Учебный гость 017,,2,0,first_night_paid,G01,DEMO-ONLY-R017,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R018,2026-09-28,2026-09-29,Учебный домик,H018,Учебный гость 018,,2,0,first_night_paid,G01,DEMO-ONLY-R018,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R019,2026-09-26,2026-09-27,Учебный домик,H019,Учебный гость 019,,2,0,first_night_paid,G01,DEMO-ONLY-R019,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R020,2026-09-27,2026-09-28,Учебный домик,H020,Учебный гость 020,,2,0,first_night_paid,G01,DEMO-ONLY-R020,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R021,2026-09-28,2026-09-29,Учебный домик,H021,Учебный гость 021,,2,0,first_night_paid,,DEMO-ONLY-R021,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R022,2026-09-26,2026-09-27,Учебный домик,H022,Учебный гость 022,,2,0,first_night_paid,,DEMO-ONLY-R022,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R023,2026-09-27,2026-09-28,Учебный домик,H023,Учебный гость 023,,2,0,first_night_paid,,DEMO-ONLY-R023,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R024,2026-09-28,2026-09-29,Учебный домик,H024,Учебный гость 024,,2,0,first_night_paid,,DEMO-ONLY-R024,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R025,2026-09-26,2026-09-27,Учебный домик,H025,Учебный гость 025,,2,0,first_night_paid,,DEMO-ONLY-R025,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R026,2026-09-27,2026-09-28,Учебный домик,H026,Учебный гость 026,,2,0,first_night_paid,,DEMO-ONLY-R026,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R027,2026-09-28,2026-09-29,Учебный домик,H027,Учебный гость 027,,2,0,first_night_paid,,DEMO-ONLY-R027,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R028,2026-09-26,2026-09-27,Учебный домик,H028,Учебный гость 028,,2,0,first_night_paid,,DEMO-ONLY-R028,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R029,2026-09-27,2026-09-28,Учебный домик,H029,Учебный гость 029,,2,0,first_night_paid,,DEMO-ONLY-R029,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R030,2026-09-28,2026-09-29,Учебный домик,H030,Учебный гость 030,,2,0,first_night_paid,,DEMO-ONLY-R030,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R031,2026-09-26,2026-09-27,Учебный домик,H031,Учебный гость 031,,2,0,first_night_paid,,DEMO-ONLY-R031,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R032,2026-09-27,2026-09-28,Учебный домик,H032,Учебный гость 032,,2,0,first_night_paid,,DEMO-ONLY-R032,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R033,2026-09-28,2026-09-29,Учебный домик,H033,Учебный гость 033,,2,0,first_night_paid,,DEMO-ONLY-R033,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R034,2026-09-26,2026-09-27,Учебный домик,H034,Учебный гость 034,,2,0,first_night_paid,,DEMO-ONLY-R034,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R035,2026-09-27,2026-09-28,Учебный домик,H035,Учебный гость 035,,2,0,first_night_paid,,DEMO-ONLY-R035,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R036,2026-09-28,2026-09-29,Учебный домик,H036,Учебный гость 036,,2,0,first_night_paid,,DEMO-ONLY-R036,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R037,2026-09-26,2026-09-27,Учебный домик,H037,Учебный гость 037,,2,0,first_night_paid,,DEMO-ONLY-R037,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R038,2026-09-27,2026-09-28,Учебный домик,H038,Учебный гость 038,,2,0,first_night_paid,,DEMO-ONLY-R038,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R039,2026-09-28,2026-09-29,Учебный домик,H039,Учебный гость 039,,2,0,first_night_paid,,DEMO-ONLY-R039,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R040,2026-09-26,2026-09-27,Учебный домик,H040,Учебный гость 040,,2,0,first_night_paid,,DEMO-ONLY-R040,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R041,2026-09-27,2026-09-28,Учебный домик,H041,Учебный гость 041,,2,0,first_night_paid,,DEMO-ONLY-R041,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R042,2026-09-28,2026-09-29,Учебный домик,H042,Учебный гость 042,,2,0,first_night_paid,,DEMO-ONLY-R042,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R043,2026-09-26,2026-09-27,Учебный домик,H043,Учебный гость 043,,2,0,first_night_paid,,DEMO-ONLY-R043,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R044,2026-09-27,2026-09-28,Учебный домик,H044,Учебный гость 044,,2,0,first_night_paid,,DEMO-ONLY-R044,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R045,2026-09-28,2026-09-29,Учебный домик,H045,Учебный гость 045,,2,0,first_night_paid,,DEMO-ONLY-R045,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R046,2026-09-26,2026-09-27,Учебный домик,H046,Учебный гость 046,,2,0,first_night_paid,,DEMO-ONLY-R046,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R047,2026-09-27,2026-09-28,Учебный домик,H047,Учебный гость 047,,2,0,first_night_paid,,DEMO-ONLY-R047,Синтетическая бронь; номера домиков не соответствуют реальному объекту
